,name,categories,lat,lng,id,NumPunto,Estrato,MarcaEncontrada
221,Domino's Pizza,Pizza Place,4.602982825216387,-74.10146407011216,4f820b17a17cd674fa2bdae4,10489,3,Domino's Pizza
222,Subway,Sandwich Place,4.603557395911917,-74.10082604609336,56034a5e498e4eb16975440e,10490,3,Subway
223,Dunkin',Donut Shop,4.6037040000000005,-74.072099,4c1a5a27b306c928cc7460b7,10504,3,Dunkin
224,Buffalo Wings,Wings Joint,4.6028423,-74.0672,59c54550b3c9613aae213d07,10507,3,Buffalo Wings
225,Subway,Sandwich Place,4.603607994827653,-74.06565120920115,508ac2f9498edfd68427e279,10507,3,Subway
226,Starbucks,Coffee Shop,4.6031583369354765,-74.06711326423991,58d0742a951e7d532bac7fb2,10507,3,Starbucks
227,Subway,Sandwich Place,4.606547460166071,-74.07127175016142,50770318e4b0916c0b2fb810,10613,3,Subway
228,Dunkin Donnuts,Donut Shop,4.607001960041656,-74.07101349851244,4fb38d51e4b06686487bdc3d,10613,3,Dunkin
229,McDonald's,Ice Cream Shop,4.611004581651505,-74.12865551787147,50eb53e7e4b06b80d219ec56,10689,3,McDonald's
230,McDonald's,Fast Food Restaurant,4.614151741856434,-74.13514402019545,520922ef498e0645f8cd06ae,10797,3,McDonald's
231,Subway,Sandwich Place,4.617039,-74.153915,57479406498e09959226efab,10898,3,Subway
232,McDonald's,Burger Joint,4.6209101825565275,-74.15180449606852,50958124e4b0272e0fdf0385,11013,3,McDonald's
233,KFC,Fast Food Restaurant,4.620068890341753,-74.13511080948139,54052041498ede8bd39f4337,11022,3,KFC
234,Subway,Sandwich Place,4.619869882489711,-74.13505346407658,4f750d02e4b054a705960393,11022,3,Subway
235,Subway,Sandwich Place,4.620396132615358,-74.0675015262332,53449383498e2ea0136a22b8,11055,3,Subway
236,KFC,Fast Food Restaurant,4.620876885976863,-74.06730862325955,560982ed498eec06796b5f17,11056,3,KFC
237,Adidas store calima,Sporting Goods Shop,4.628099444965816,-74.08059799546577,4eee418c5c5c794ad3158b0d,11269,4,Adidas
238,Metro Milenio Plaza,Grocery Store,4.630986851852437,-74.16805744171144,4e24637db3add90f9f4b86d0,11328,2,MetroMetro 
239,Subway,Sandwich Place,4.631177,-74.115884,599c97c451950e1c2fdce0a3,11354,3,Subway
240,Subway,Sandwich Place,4.6311533591329725,-74.09311832712271,54da4aee498e83c99a1ecdfe,11366,4,Subway
241,Dunkin',Donut Shop,4.631141386957494,-74.0897319373682,4e8349046da182add80e64b0,11367,4,Dunkin
242,Subway Parkway,Sandwich Place,4.630152346068355,-74.07492251123918,546a4e4b498e96205f82618c,11375,4,Subway
243,Dunkin',Donut Shop,4.6304935873637145,-74.06362908031983,4c5ac5f26407d13aff64b528,11380,4,Dunkin
244,Subway,Sandwich Place,4.634385899769055,-74.11613329925842,4f3a9a0de4b0b5606ebac9a7,11458,3,Subway
245,Subway,Sandwich Place,4.63359799262269,-74.0887547024231,5391137e498e03684676c7b0,11472,4,Subway
246,Subway,Sandwich Place,4.634045737019644,-74.06614279777148,5394b0d1498e65d34f2de5f6,11483,4,Subway
247,Domino's Pizza,Pizza Place,4.637329677928953,-74.13893187185089,503a6bcee4b0b44f28fec54e,11546,3,Domino's Pizza
248,Subway,Sandwich Place,4.64042275098221,-74.06661834676636,54d92965498e32a11acbbf3c,11672,3,Subway
249,KFC,Fast Food Restaurant,4.641472,-74.06475,59d01b20851de571573f1481,11673,3,KFC
250,Domino's Pizza Esmeralda,Pizza Place,4.644698,-74.091673,51aa81d6498e1641e3a6cadd,11748,4,Domino's Pizza
251,Adidas Outlet Store,Sporting Goods Shop,4.6447597,-74.06441600000002,4ee4ed9929c220f9722a8380,11762,3,Adidas
252,Bancolombia,Bank,4.647544,-74.100981,4d9c7f86c540236a6c9e794b,11828,4,Bancolombia
253,Stradivarius,Women's Store,4.651561,-74.12606099999998,59c41df6a5a315336a4415e9,11896,4,Stradivarius
254,Buffalo Wings,Wings Joint,4.651993,-74.12455,5955b0660d2be7672eac9819,11897,4,Buffalo Wings
255,Subway,Sandwich Place,4.651809995391135,-74.06065377853383,4f510998e4b062d9da937c62,11929,3,Subway
256,Starbucks,Coffee Shop,4.651284644290602,-74.05909642559236,54528b5c498e08e6e7d6f417,11930,3,Starbucks
257,Starbucks,Coffee Shop,4.651548236807173,-74.05532920854186,54827d16498e236a0463049a,11932,5,Starbucks
258,Hilton,Hotel,4.655634813275069,-74.0551451548483,4e60d304d164ddd5e50cb65d,12007,4,Hilton
259,Buffalo Wings,Wings Joint,4.659014246214147,-74.10812790473645,4b9691bdf964a52071d534e3,12050,4,Buffalo Wings
260,Subway,Sandwich Place,4.658716359778801,-74.06176954507828,50abcfd3e4b05be2db05d6f2,12073,4,Subway
261,McDonald's,Burger Joint,4.662218313726411,-74.1394995922888,51e38bcd498e3c12d43456ed,12104,4,McDonald's
262,Dunkin',Donut Shop,4.662548043447764,-74.13186120876642,50e89d60e4b02662b4377c55,12108,4,Dunkin
263,Hampton by Hilton,Hotel,4.6686788,-74.114239,5a63963a4940bc6e06df012d,12271,4,Hilton
264,Buffalo Wings,Wings Joint,4.668498364254826,-74.0537849209295,54c7d3ca498eb5a672c56e43,12301,5,Buffalo Wings
265,KFC,Fast Food Restaurant,4.67161806216493,-74.15290041512607,5457d67e498e2030915a319c,12335,3,KFC
266,Subway,Sandwich Place,4.671559864814364,-74.05847152407004,5022ae58e4b064b09411e94a,12382,5,Subway
267,Subway,Sandwich Place,4.671952933147841,-74.05442093721028,4f7b38abe4b01c9eb407d154,12384,5,Subway
268,Dunkin Donuts (Dorado plaza),Donut Shop,4.676295670386762,-74.12176223619456,5401c731498e97970880efc6,12435,4,Dunkin
269,Subway Dorado Plaza,Sandwich Place,4.675857792924217,-74.12012776862238,553a8106498e037083ddbc35,12436,3,Subway
270,Dunkin',Donut Shop,4.676370902394114,-74.11934207211745,53edfcd4498e38304cda04f6,12437,4,Dunkin
271,McDonald's,Burger Joint,4.675961524419076,-74.08876596447627,4eca289899115348dc0b3729,12452,3,McDonald's
272,Subway,Sandwich Place,4.675867870862113,-74.04762861558173,4bdf60b00ee3a5933b0d34b0,12472,6,Subway
273,Buffalo Wings,Wings Joint,4.675825970125419,-74.04730335712503,4c269326905a0f4747946360,12473,6,Buffalo Wings
274,Dunkin',Donut Shop,4.682667299999999,-74.123856,59dd0e5f35d3fc4ebc718dc5,12606,3,Dunkin
275,Dunkin' Donuts Exito Calle 80,Donut Shop,4.683899587462362,-74.08056931443917,4e935c216da1ee4384c757ce,12628,3,Dunkin
276,Subway,Sandwich Place,4.6836682877918365,-74.05869364840848,5101ad36e4b03391afc51a6e,12639,5,Subway
277,Dunkin',Donut Shop,4.683455990223048,-74.04850513492569,50c62b4ce4b0fac7b3d435df,12644,5,Dunkin
278,Subway,Sandwich Place,4.682253048876179,-74.04896161275579,4e9332f5b8f7cece23122a6e,12644,5,Subway
